NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,AREA
Chiquimula,Chiquimula,Hombre,43,500,Urbano
Chiquimula,Chiquimula,Hombre,44,412,Urbano
Chiquimula,Chiquimula,Hombre,45,506,Urbano
Chiquimula,Chiquimula,Hombre,46,397,Urbano
Chiquimula,Chiquimula,Hombre,47,388,Urbano
Chiquimula,Chiquimula,Hombre,48,402,Urbano
Chiquimula,Chiquimula,Hombre,49,330,Urbano
Chiquimula,Chiquimula,Hombre,50,511,Urbano
Chiquimula,Chiquimula,Hombre,51,314,Urbano
Chiquimula,Chiquimula,Hombre,52,377,Urbano
Chiquimula,Chiquimula,Hombre,53,370,Urbano
Chiquimula,Chiquimula,Hombre,54,349,Urbano
Chiquimula,Chiquimula,Hombre,55,373,Urbano
Chiquimula,Chiquimula,Hombre,56,339,Urbano
Chiquimula,Chiquimula,Hombre,57,342,Urbano
Chiquimula,Chiquimula,Hombre,58,360,Urbano
Chiquimula,Chiquimula,Hombre,59,270,Urbano
Chiquimula,Chiquimula,Hombre,60,413,Urbano
Chiquimula,Chiquimula,Hombre,61,218,Urbano
Chiquimula,Chiquimula,Hombre,62,236,Urbano
Chiquimula,Chiquimula,Hombre,63,266,Urbano
Chiquimula,Chiquimula,Hombre,64,262,Urbano
Chiquimula,Chiquimula,Hombre,65,278,Urbano
Chiquimula,Chiquimula,Hombre,66,210,Urbano
Chiquimula,Chiquimula,Hombre,67,218,Urbano
Chiquimula,Chiquimula,Hombre,68,241,Urbano
Chiquimula,Chiquimula,Hombre,69,148,Urbano
Chiquimula,Chiquimula,Hombre,70,225,Urbano
Chiquimula,Chiquimula,Hombre,71,147,Urbano
Chiquimula,Chiquimula,Hombre,72,183,Urbano
Chiquimula,Chiquimula,Hombre,73,151,Urbano
Chiquimula,Chiquimula,Hombre,74,138,Urbano
Chiquimula,Chiquimula,Hombre,75,155,Urbano
Chiquimula,Chiquimula,Hombre,76,103,Urbano
Chiquimula,Chiquimula,Hombre,77,117,Urbano
Chiquimula,Chiquimula,Hombre,78,120,Urbano
Chiquimula,Chiquimula,Hombre,79,111,Urbano
Chiquimula,Chiquimula,Hombre,80,107,Urbano
Chiquimula,Chiquimula,Hombre,81,61,Urbano
Chiquimula,Chiquimula,Hombre,82,82,Urbano
Chiquimula,Chiquimula,Hombre,83,72,Urbano
Chiquimula,Chiquimula,Hombre,84,51,Urbano
Chiquimula,Chiquimula,Hombre,85,65,Urbano
Chiquimula,Chiquimula,Hombre,86,51,Urbano
Chiquimula,Chiquimula,Hombre,87,49,Urbano
Chiquimula,Chiquimula,Hombre,88,65,Urbano
Chiquimula,Chiquimula,Hombre,89,34,Urbano
Chiquimula,Chiquimula,Hombre,90,23,Urbano
Chiquimula,Chiquimula,Hombre,91,16,Urbano
Chiquimula,Chiquimula,Hombre,92,8,Urbano
Chiquimula,Chiquimula,Hombre,93,12,Urbano
Chiquimula,Chiquimula,Hombre,94,11,Urbano
Chiquimula,Chiquimula,Hombre,95,4,Urbano
Chiquimula,Chiquimula,Hombre,96,4,Urbano
Chiquimula,Chiquimula,Hombre,97,4,Urbano
Chiquimula,Chiquimula,Hombre,98,2,Urbano
Chiquimula,Chiquimula,Hombre,99,3,Urbano
Chiquimula,Chiquimula,Hombre,100,3,Urbano
Chiquimula,Chiquimula,Hombre,102,1,Urbano
Chiquimula,Chiquimula,Hombre,105,1,Urbano
Chiquimula,Chiquimula,Mujer,0,1068,Urbano
Chiquimula,Chiquimula,Mujer,1,1134,Urbano
Chiquimula,Chiquimula,Mujer,2,1370,Urbano
Chiquimula,Chiquimula,Mujer,3,1236,Urbano
Chiquimula,Chiquimula,Mujer,4,1219,Urbano
Chiquimula,Chiquimula,Mujer,5,1171,Urbano
Chiquimula,Chiquimula,Mujer,6,1329,Urbano
Chiquimula,Chiquimula,Mujer,7,1190,Urbano
Chiquimula,Chiquimula,Mujer,8,1147,Urbano
Chiquimula,Chiquimula,Mujer,9,1101,Urbano
Chiquimula,Chiquimula,Mujer,10,1188,Urbano
Chiquimula,Chiquimula,Mujer,11,1133,Urbano
Chiquimula,Chiquimula,Mujer,12,1171,Urbano
Chiquimula,Chiquimula,Mujer,13,1132,Urbano
Chiquimula,Chiquimula,Mujer,14,1172,Urbano
Chiquimula,Chiquimula,Mujer,15,1230,Urbano
Chiquimula,Chiquimula,Mujer,16,1150,Urbano
Chiquimula,Chiquimula,Mujer,17,1269,Urbano
Chiquimula,Chiquimula,Mujer,18,1346,Urbano
Chiquimula,Chiquimula,Mujer,19,1121,Urbano
Chiquimula,Chiquimula,Mujer,20,1216,Urbano
Chiquimula,Chiquimula,Mujer,21,1082,Urbano
Chiquimula,Chiquimula,Mujer,22,1192,Urbano
Chiquimula,Chiquimula,Mujer,23,1180,Urbano
Chiquimula,Chiquimula,Mujer,24,1118,Urbano
Chiquimula,Chiquimula,Mujer,25,1106,Urbano
Chiquimula,Chiquimula,Mujer,26,942,Urbano
Chiquimula,Chiquimula,Mujer,27,970,Urbano
Chiquimula,Chiquimula,Mujer,28,1035,Urbano
Chiquimula,Chiquimula,Mujer,29,844,Urbano
Chiquimula,Chiquimula,Mujer,30,1007,Urbano
Chiquimula,Chiquimula,Mujer,31,692,Urbano
Chiquimula,Chiquimula,Mujer,32,805,Urbano
Chiquimula,Chiquimula,Mujer,33,781,Urbano
Chiquimula,Chiquimula,Mujer,34,789,Urbano
Chiquimula,Chiquimula,Mujer,35,867,Urbano
Chiquimula,Chiquimula,Mujer,36,783,Urbano
Chiquimula,Chiquimula,Mujer,37,766,Urbano
Chiquimula,Chiquimula,Mujer,38,800,Urbano
Chiquimula,Chiquimula,Mujer,39,661,Urbano
Chiquimula,Chiquimula,Mujer,40,785,Urbano
Chiquimula,Chiquimula,Mujer,41,561,Urbano
Chiquimula,Chiquimula,Mujer,42,671,Urbano
Chiquimula,Chiquimula,Mujer,43,570,Urbano
Chiquimula,Chiquimula,Mujer,44,521,Urbano
Chiquimula,Chiquimula,Mujer,45,588,Urbano
Chiquimula,Chiquimula,Mujer,46,488,Urbano
Chiquimula,Chiquimula,Mujer,47,535,Urbano
Chiquimula,Chiquimula,Mujer,48,531,Urbano
Chiquimula,Chiquimula,Mujer,49,449,Urbano
Chiquimula,Chiquimula,Mujer,50,581,Urbano
Chiquimula,Chiquimula,Mujer,51,379,Urbano
Chiquimula,Chiquimula,Mujer,52,458,Urbano
Chiquimula,Chiquimula,Mujer,53,485,Urbano
Chiquimula,Chiquimula,Mujer,54,417,Urbano
Chiquimula,Chiquimula,Mujer,55,465,Urbano
Chiquimula,Chiquimula,Mujer,56,417,Urbano
Chiquimula,Chiquimula,Mujer,57,416,Urbano
Chiquimula,Chiquimula,Mujer,58,469,Urbano
Chiquimula,Chiquimula,Mujer,59,381,Urbano
Chiquimula,Chiquimula,Mujer,60,415,Urbano
Chiquimula,Chiquimula,Mujer,61,265,Urbano
Chiquimula,Chiquimula,Mujer,62,305,Urbano
Chiquimula,Chiquimula,Mujer,63,339,Urbano
Chiquimula,Chiquimula,Mujer,64,313,Urbano
Chiquimula,Chiquimula,Mujer,65,344,Urbano
